№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
VII;0;0;0;0;0,002777778;0,069444444;0,227777778;0,397222222;0,575;0,758333333;0,880555556;0,944444444;0,944444444;0,880555556;0,758333333;0,611111111;0,419444444;0,205555556;0,055555556;0,002777778;0;0;0;0;7,733333333;;VII;0;0;0;0;0;0,013888889;0,113888889;0,255555556;0,397222222;0,547222222;0,661111111;0,702777778;0,702777778;0,661111111;0,547222222;0,405555556;0,241666667;0,086111111;0,005555556;0;0;0;0;0;5,341666667
VIII;0;0;0;0;0;0,041666667;0,169444444;0,333333333;0,519444444;0,702777778;0,822222222;0,880555556;0,880555556;0,816666667;0,711111111;0,555555556;0,355555556;0,155555556;0,025;0;0;0;0;0;6,969444444;;VIII;0;0;0;0;0;0,011111111;0,055555556;0,169444444;0,311111111;0,483333333;0,597222222;0,652777778;0,652777778;0,597222222;0,497222222;0,355555556;0,191666667;0,055555556;0,011111111;0;0;0;0;0;4,641666667
IX;0;0;0;0;0;0,002777778;0,086111111;0,227777778;0,425;0,611111111;0,744444444;0,808333333;0,808333333;0,738888889;0,616666667;0,461111111;0,247222222;0,077777778;0,002777778;0;0;0;0;0;5,858333333;;IX;0;0;0;0;0;0;0,022222222;0,105555556;0,247222222;0,411111111;0,538888889;0,597222222;0,597222222;0,538888889;0,433333333;0,283333333;0,127777778;0,027777778;0;0;0;0;0;0;3,930555556
X;0;0;0;0;0;0;0,019444444;0,113888889;0,255555556;0,419444444;0,558333333;0,616666667;0,616666667;0,558333333;0,455555556;0,297222222;0,15;0,027777778;0;0;0;0;0;0;4,088888889;;X;0;0;0;0;0;0;0;0,036111111;0,119444444;0,241666667;0,355555556;0,411111111;0,411111111;0,355555556;0,269444444;0,155555556;0,05;0,005555556;0;0;0;0;0;0;2,411111111
XI;0;0;0;0;0;0;0;0,05;0,15;0,269444444;0,391666667;0,433333333;0,433333333;0,383333333;0,283333333;0,163888889;0,041666667;0;0;0;0;0;0;0;2,6;;XI;0;0;0;0;0;0;0;0,013888889;0,072222222;0,15;0,233333333;0,269444444;0,269444444;0,227777778;0,15;0,072222222;0,013888889;0;0;0;0;0;0;0;1,472222222
XII;0;0;0;0;0;0;0;0,016666667;0,086111111;0,169444444;0,255555556;0,311111111;0,311111111;0,269444444;0,2;0,113888889;0,016666667;0;0;0;0;0;0;0;1,75;;XII;0;0;0;0;0;0;0;0,005555556;0,027777778;0,077777778;0,127777778;0,155555556;0,155555556;0,136111111;0,086111111;0,041666667;0,011111111;0;0;0;0;0;0;0;0,825
S;0;0;0;0;0,008333333;0,266666667;1,063888889;2,347222222;4,025;5,755555556;7,055555556;7,691666667;7,691666667;7,027777778;5,816666667;4,261111111;2,480555556;1,030555556;0,208333333;0,008333333;0;0;0;0;56,73888889;;S;0;0;0;0;0,002777778;0,055555556;0,419444444;1,175;2,258333333;3,591666667;4,652777778;5,144444444;5,144444444;4,661111111;3,702777778;2,469444444;1,247222222;0,419444444;0,041666667;0;0;0;0;0;34,98611111
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
3;;Ашхабад;;;;;;;;;;Ашхабадская область;;;;;;;;;;38;;58,3;;;3;;Ашхабад;;;;;;;;;;Ашхабадская область;;;;;;;;;;38;;58,3;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
