ID;Производитель;Модель;Мощность, кВт;Диаметр,м;Регулир.;Мультипликатор;Оффшорисполн.;Макс.скорость, м/с;Производство;Высота башни, м;Мин.скорость, м/с;Ном.скорость, м/с;Макс.скорость, м/с;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Число лопастей;Угол лопасти;Высота втулки, м;Вращ. ВК, об/мин;перед. Число;Тип ген-ра;Напряж.ген., кВ;Вращ.рот, об/мин;Лопасть;Ротор;Гондола;Башня;Общий;Страна;Шум, дБ(А);Систмы регулирования;Тормозная система;;;Сайт;;;;;;;;Видео
46;Bonus;B24/150;150;24;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Bonus;B30/100;100;30;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Bonus;B30/150;150;30;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Bonus;B30/150;150;23;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Bonus;B31/300;300;31;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Bonus;B33/300;300;33;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Bonus;B35/450;450;35;ND;ND;Yes;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Bonus;B37/450;450;37;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Bonus;B41/600;600;41;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Bonus;B44/600;600;44;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Bonus;B52/1000;1000;52;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Bonus;B54/1000;1000;54,1;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Bonus;B62/1300;1300;62;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Bonus;B76/2000;2000;76;ND;ND;Yes;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Bonus;B82/2300;2300;82;ND;ND;Yes;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;China Creative Wind Energy;WD59-1250;1500;70,5;Pitch;ND;No;25;Available;65,1;3;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 11-22;;Аг, ДП;0,69;1800;;;;;;Китай;;;;;;http://en.ccwewind.com/products_detail/&productId=d6eda2eb-b227-4a6a-bd04-f6bba0a9ad03&comp_stats=comp-FrontProducts_list01-004.html;;;;;;;;нет отдельного файла по ВЭУ
62;Clipper;Liberty C100;2500;100;Pitch;No;No;25;Available;80;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6-15.5;;Сг, пост.магниты;1,32;1133;;;;;;США;;;;;;http://www.clipperwind.com/techspecs.html;;;;;;;;
63;Clipper;Liberty C89;2500;89;Pitch;No;No;25;Available;80;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6-15.5;;Сг, пост.магниты;1,32;1133;;;;;;США;;;;;;;;;;;;;;
64;Clipper;Liberty C93;2500;93;Pitch;No;No;25;Available;80;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6-15.5;;Сг, пост.магниты;1,32;1133;;;;;;США;;;;;;;;;;;;;;
65;Clipper;Liberty C96;2500;96;Pitch;No;No;25;Available;80;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.6-15.5;;Сг, пост.магниты;1,32;1133;;;;;;США;;;;;;;;;;;;;;
66;CWEL;C-30/250;250;29,6;Stall;Yes;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Danregn;150;150;23,8;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Danregn;22;22;10,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Danregn;25;25;10,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Danregn;30;30;10,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Danregn;300;300;31;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Danregn;35;35;10,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Danregn;55;55;15,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Danregn;65;65;15,2;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Danregn;95;95;19;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
