название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Газимурский Завод;51.55388;118.34763;0;19
Дульдурга;50.6779000000001;113.58747;0;21
Кайластуй (Краснокаменский район);49.83595;118.40183;0;24
Карымское;51.61965;114.31124;0;26
Красный Чикой;50.3709200000001;108.73988;0;24
Курорт-Дарасун (Карымский район);51.20248;113.71016;0;23
Кыра;49.5756400000001;111.97298;0;28
Могзон (Хилокский район);51.7482400000001;111.95437;0;28
Могоча;53.7356600000001;119.75947;0;22
Нерчинск;51.9949300000001;116.55183;0;24
Нерчинский Завод;51.3118900000001;119.59948;0;20
Оловянная;50.9376300000001;115.56374;0;28
Петровск-Забайкальский;51.2848300000001;108.83284;0;21
Приаргунск;50.36456;119.08214;0;27
Сретенск;52.2263100000001;117.68128;0;21
Тунгокочен;53.54022;115.60797;0;26
Тупик;54.92127;42.3865700000001;0;21
Улёты;51.3601200000001;112.49231;0;30
Усть-Каренга (Тунгокоченский район);54.4392300000001;116.52282;0;25
Харанор(Забайкальский район);50.11051;116.65988;0;27
Хилок;51.3529800000001;110.47069;0;21
Чара;56.90972;118.26978;0;21
Чернышевск;52.5379500000001;116.99957;0;28
Шелопугино;51.64662;117.56516;0;22
Шилка;51.85576;116.03777;0;27
Анна;51.4900400000001;40.42254;0;23
Богучар;49.93575;40.5573000000001;0;24
Борисоглебск;51.37636;42.07768;0;17
Воронеж;51.6678200000001;39.2069500000001;0;21
Калач;50.4262900000001;41.0198;0;27
Лиски;50.97983;39.5148;0;20
Нижнедевицк;51.5648200000001;38.36188;0;21
Павловск;50.45072;40.1404600000001;0;21
Таловая;51.11539;40.72605;0;23
Сыктывкар;61.67098;50.81093;0;23
Большелуг (Корткеросский район);62.1319800000001;52.49532;0;20
Вендинга (Удорский район);63.44104;47.9097100000001;0;18
Ветью (Княжпогостский р-н);62.9435300000001;50.7945700000001;0;20
Воркута;67.5047400000001;64.04767;0;31
Вуктыл;63.84414;57.3007600000001;0;20
Ижма;65.0146500000001;53.9237800000001;0;22
Ираёль (Сосногорский р-н);64.41497;55.19606;0;19
Кедвавом (округ Ухта);64.2269200000001;53.5704500000001;0;20
Койгородок;60.4475200000001;51.00226;0;23
Кослан;63.4564800000001;48.8945600000001;0;24
Объячево;60.3283900000001;49.64351;0;24
Окунев Нос(Усть-Цилемский район);66.2463300000001;52.56496;0;20
Петрунь (округ Инта);66.4764900000001;60.7274800000001;0;23
Печора;65.14318;57.21133;0;24
Помоздино(Усть-Куломский район);62.19379;54.18667;0;20
Троицко-Печорск;62.7082500000001;56.19043;0;19
Усть-Кулом;61.68526;53.70428;0;24
